,recordId,Names used in AMNH publications,useDates,floor,section
0,amnhc_4000002,African Hall,"1911, 1914, 1917, 1919, 1920, 1921, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1938, 1939, 1940, 1941, 1949",2,13
1,amnhc_4000002,Roosevelt African Hall,"1919, 1920, 1921",2,13
2,amnhc_4000002,African Gallery,"1924, 1931",3,13
3,amnhc_4000002,Hall of African Mammals,"1924, 1927, 1962, 1964, 1968, 1970, 1981, 1984, 1985, 1992, 1998",2,13
4,amnhc_4000002,Akeley African Hall,"1927, 1929, 1930, 1931, 1933, 1934, 1936, 1937, 1938, 1939, 1940, 1942, 1943, 1945, 1947, 1949, 1953, 1956, 1958",2,13
5,amnhc_4000002,Akeley Hall of African Mammals,"1928, 1929, 1932, 1940, 1941, 1957, 1967, 1971, 1973, 1975, 1978, 1981, 1984, 1985, 1991, 1993, 1996, 2000, 2001, 2006, 2007, 2009, 2010, 2012, 2014",2,13
6,amnhc_4000002,Akeley African Mammal Hall,1930,2,13
7,amnhc_4000002,"Small Mammal Groups, Gallery",1930,3,13
8,amnhc_4000002,Akeley Memorial African Hall,"1932, 1933, 1934, 1935, 1993",2,13
9,amnhc_4000002,Akeley Memorial Hall of African Mammals,"1935, 1936, 1937, 1964, 1969, 1983, 1986, 1987, 1988",3,13
10,amnhc_4000002,"African Hall, Akeley Memorial",1935,2,13
11,amnhc_4000002,Akeley Hall,"1936, 1937, 1940, 1969, 1985",2,13
12,amnhc_4000002,Akeley African Hall Gallery,"1939, 1953, 1956, 1958",3,13
13,amnhc_4000002,Gallery of Akeley African Hall,"1939, 1953, 1956, 1958",3,13
14,amnhc_4000002,African Mammals,"1943, 1945, 1947, 1949, 1953, 1962, 1964, 1967",2,13
15,amnhc_4000002,Akeley Memorial,"1962, 1964, 1972",2,13
16,amnhc_4000002,African Mammal Hall,1971,2,13
17,amnhc_4000002,Akeley Memorial African Hall (African Mammals),1993,2,13
18,amnhc_4000002,American Museum of Natural History. Akeley Memorial Hall of African Mammals. ,"1926, 1927",2,13
19,amnhc_4000003,Anne and Bernard Spitzer Hall of Human Origins,"2007, 2009, 2014-",1,4
20,amnhc_4000003,Spitzer Hall of Human Origins,"2006, 2007, 2009, 2012",1,4
21,amnhc_4000003,American Museum of Natural History. Anne and Bernard Spitzer Hall of Human Origins.,"2007, 2008",1,4
22,amnhc_4000003,Hall of Human Origins,,1,4
23,amnhc_4000004,Arthur Ross Hall of Meteorites,"1975, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1988, 1989, 1990, 1993, 2001, 2006, 2007",1,6
24,amnhc_4000004,"Hall of Meteorites, Minerals and Gems",1978,1,6
25,amnhc_4000004,Hall of Meteorites,"1980, 1984, 1988, 1990",1,6
26,amnhc_4000004,Ross Hall of Meteorites,"1984, 2006, 2012",1,6
27,amnhc_4000004,"American Museum of Natural History. Hall of Meteorites, Minerals and Gems.","1979, 1981",1,6
28,amnhc_4000005,Auduboniana,"1913, 1914, 1916, 1918, 1919, 1921, 1922, 1923, 1928, 1930, 1931, 1932, 1933, 1934, 1935, 1936",3,WC
29,amnhc_4000005,Audubon Gallery,"1939, 1943, 1945, 1947, 1949",4,12A
30,amnhc_4000005,Audubon Paintings,"1943, 1945, 1947, 1949",4,12A
31,amnhc_4000006,Dean Memorial Room of Fossil Fishes,1929,4,5
32,amnhc_4000006,Bashford Dean Memorial Hall of Fossil Fishes,1929,4,5
33,amnhc_4000006,Bashford Dean Hall of Fossil Fishes,1936,4,5
34,amnhc_4000106,Hall of North American Mammals,"1904, 1911, 1914, 1915, 1918, 1919, 1926, 1927, 1931, 1932, 1933, 1942",2,3
35,amnhc_4000106,North American Mammals,"1904, 1939, 1943, 1945",2,3
36,amnhc_4000106,North American Mammal Hall,"1911, 1912, 1913, 1931, 1933",2,3
