,geometry,section,year,floor,hall name
0,"POLYGON ((-73.97536816444604 40.78088863879925, -73.97526894375126 40.7810367066053, -73.97478199911076 40.78084131816021, -73.97488427274999 40.78069477682639, -73.97536816444604 40.78088863879925))",4,1904,1,"['Ethnology of North America ', 'North American Hall']"
1,"POLYGON ((-73.97536816444604 40.78088863879925, -73.97526894375126 40.7810367066053, -73.97478199911076 40.78084131816021, -73.97488427274999 40.78069477682639, -73.97536816444604 40.78088863879925))",4,1904,2,['Ethnology and Archaeology of Southwestern United States and of Mexico']
2,"POLYGON ((-73.97536816444604 40.78088863879925, -73.97526894375126 40.7810367066053, -73.97478199911076 40.78084131816021, -73.97488427274999 40.78069477682639, -73.97536816444604 40.78088863879925))",4,1904,3,"['Ethnology and Archaeology of South America', 'South American Archaeology', 'South American Hall']"
3,"POLYGON ((-73.97536816444604 40.78088863879925, -73.97526894375126 40.7810367066053, -73.97478199911076 40.78084131816021, -73.97488427274999 40.78069477682639, -73.97536816444604 40.78088863879925))",4,1904,4,"['Hall of Mexican and Central American Archaeology', 'Loubat Hall', 'Loubat Hall of Mexican and Central American Archaeology', 'Mexican and Central American Archaeology', 'Mexican Hall']"
4,"POLYGON ((-73.97536816444604 40.78088863879925, -73.97526894375126 40.7810367066053, -73.97478199911076 40.78084131816021, -73.97488427274999 40.78069477682639, -73.97536816444604 40.78088863879925))",4,1907,4,['Loubat Hall of Mexican Archaeology']
5,"POLYGON ((-73.97536816444604 40.78088863879925, -73.97526894375126 40.7810367066053, -73.97478199911076 40.78084131816021, -73.97488427274999 40.78069477682639, -73.97536816444604 40.78088863879925))",4,1910,2,"['Hall of Mexican and Central American Archaeology', 'Mexican Hall']"
6,"POLYGON ((-73.97536816444604 40.78088863879925, -73.97526894375126 40.7810367066053, -73.97478199911076 40.78084131816021, -73.97488427274999 40.78069477682639, -73.97536816444604 40.78088863879925))",4,1910,4,"['Mineral Hall', 'Mineralogical Hall']"
7,"POLYGON ((-73.97536816444604 40.78088863879925, -73.97526894375126 40.7810367066053, -73.97478199911076 40.78084131816021, -73.97488427274999 40.78069477682639, -73.97536816444604 40.78088863879925))",4,1911,1,"['Eastern Woodlands Hall', 'Indians of the Woodlands']"
8,"POLYGON ((-73.97536816444604 40.78088863879925, -73.97526894375126 40.7810367066053, -73.97478199911076 40.78084131816021, -73.97488427274999 40.78069477682639, -73.97536816444604 40.78088863879925))",4,1911,2,"['Ancient Monuments of Mexico and Central America', 'Hall of Mexican and Central American Archaeology', 'Mexican and Central American Hall']"
9,"POLYGON ((-73.97536816444604 40.78088863879925, -73.97526894375126 40.7810367066053, -73.97478199911076 40.78084131816021, -73.97488427274999 40.78069477682639, -73.97536816444604 40.78088863879925))",4,1911,3,"['Indians of South America', 'South American Hall']"
10,"POLYGON ((-73.97536816444604 40.78088863879925, -73.97526894375126 40.7810367066053, -73.97478199911076 40.78084131816021, -73.97488427274999 40.78069477682639, -73.97536816444604 40.78088863879925))",4,1911,4,"['Hall of Minerals', 'Minerals', 'Morgan Hall', 'Morgan Hall of Minerals']"
11,"POLYGON ((-73.97536816444604 40.78088863879925, -73.97526894375126 40.7810367066053, -73.97478199911076 40.78084131816021, -73.97488427274999 40.78069477682639, -73.97536816444604 40.78088863879925))",4,1912,1,['Woodlands Hall']
